Metazygia_gene,Clock_gene,Comparison,logFC,Pvalue
TRINITY_DN59140_c0_g1,Cycle,logFC_Pulse.NoPulse_t7,0.979153731,0.238231018
TRINITY_DN2943_c0_g1,Clock,logFC_Pulse.NoPulse_t7,0.626388732,0.118737921
TRINITY_DN4945_c0_g1,Doubletime,logFC_Pulse.NoPulse_t7,0.658764489,0.076276419
TRINITY_DN146_c0_g1,Period,logFC_Pulse.NoPulse_t7,0.448167657,0.169439301
TRINITY_DN42615_c0_g1,Timeless,logFC_Pulse.NoPulse_t7,,
TRINITY_DN2770_c0_g1,Cry1,logFC_Pulse.NoPulse_t7,0.446366106,0.197780637
TRINITY_DN308_c1_g1,CRY2,logFC_Pulse.NoPulse_t7,0.598038391,0.178193013
TRINITY_DN59140_c0_g1,Cycle,logFC_Pulse.NoPulse_t16,0.62298541,0.411729499
TRINITY_DN2943_c0_g1,Clock,logFC_Pulse.NoPulse_t16,-0.371838951,0.313452694
TRINITY_DN4945_c0_g1,Doubletime,logFC_Pulse.NoPulse_t16,0.168665862,0.634732958
TRINITY_DN146_c0_g1,Period,logFC_Pulse.NoPulse_t16,0.338862215,0.352169596
TRINITY_DN42615_c0_g1,Timeless,logFC_Pulse.NoPulse_t16,-0.1493847,0.906786484
TRINITY_DN2770_c0_g1,Cry1,logFC_Pulse.NoPulse_t16,0.273668112,0.480366554
TRINITY_DN308_c1_g1,CRY2,logFC_Pulse.NoPulse_t16,-0.580601472,0.135481981
TRINITY_DN59140_c0_g1,Cycle,logFC_t7.t16_Pulse,-0.411831461,0.54234481
TRINITY_DN2943_c0_g1,Clock,logFC_t7.t16_Pulse,-0.129887391,0.704548352
TRINITY_DN4945_c0_g1,Doubletime,logFC_t7.t16_Pulse,-0.144684217,0.685162015
TRINITY_DN146_c0_g1,Period,logFC_t7.t16_Pulse,0.559883445,0.106054122
TRINITY_DN42615_c0_g1,Timeless,logFC_t7.t16_Pulse,1.84787738,0.282329679
TRINITY_DN2770_c0_g1,Cry1,logFC_t7.t16_Pulse,-0.134231568,0.710164461
TRINITY_DN308_c1_g1,CRY2,logFC_t7.t16_Pulse,-0.483673886,0.242347143
TRINITY_DN59140_c0_g1,Cycle,logFC_t7.t16_NoPulse,0.62298541,0.387213241
TRINITY_DN2943_c0_g1,Clock,logFC_t7.t16_NoPulse,-0.371838951,0.006913042
TRINITY_DN4945_c0_g1,Doubletime,logFC_t7.t16_NoPulse,0.168665862,0.061163122
TRINITY_DN146_c0_g1,Period,logFC_t7.t16_NoPulse,0.338862215,0.255296214
TRINITY_DN42615_c0_g1,Timeless,logFC_t7.t16_NoPulse,-0.1493847,0.039873039
TRINITY_DN2770_c0_g1,Cry1,logFC_t7.t16_NoPulse,0.273668112,0.34813837
TRINITY_DN308_c1_g1,CRY2,logFC_t7.t16_NoPulse,-0.580601472,4.18E-05
